,n,L,total_attempts,total_successes,total_collisions,collision_rate,success_rate,throughput,per_node
58,1,59,151,151,0,0.0,1.0,0.8909,"[{'tx': 151, 'success': 151, 'collisions': 0}]"
59,1,60,147,147,0,0.0,1.0,0.882,"[{'tx': 147, 'success': 147, 'collisions': 0}]"
60,1,61,144,144,0,0.0,1.0,0.8784,"[{'tx': 144, 'success': 144, 'collisions': 0}]"
61,1,62,144,144,0,0.0,1.0,0.8928,"[{'tx': 144, 'success': 144, 'collisions': 0}]"
62,1,63,143,143,0,0.0,1.0,0.9009,"[{'tx': 143, 'success': 143, 'collisions': 0}]"
63,1,64,141,141,0,0.0,1.0,0.9024,"[{'tx': 141, 'success': 141, 'collisions': 0}]"
64,1,65,139,139,0,0.0,1.0,0.9035,"[{'tx': 139, 'success': 139, 'collisions': 0}]"
65,1,66,137,137,0,0.0,1.0,0.9042,"[{'tx': 137, 'success': 137, 'collisions': 0}]"
66,1,67,134,134,0,0.0,1.0,0.8978,"[{'tx': 134, 'success': 134, 'collisions': 0}]"
67,1,68,132,132,0,0.0,1.0,0.8976,"[{'tx': 132, 'success': 132, 'collisions': 0}]"
68,1,69,132,132,0,0.0,1.0,0.9108,"[{'tx': 132, 'success': 132, 'collisions': 0}]"
69,1,70,130,130,0,0.0,1.0,0.91,"[{'tx': 130, 'success': 130, 'collisions': 0}]"
70,1,71,128,128,0,0.0,1.0,0.9088,"[{'tx': 128, 'success': 128, 'collisions': 0}]"
71,1,72,126,126,0,0.0,1.0,0.9072,"[{'tx': 126, 'success': 126, 'collisions': 0}]"
72,1,73,124,124,0,0.0,1.0,0.9052,"[{'tx': 124, 'success': 124, 'collisions': 0}]"
73,1,74,123,123,0,0.0,1.0,0.9102,"[{'tx': 123, 'success': 123, 'collisions': 0}]"
74,1,75,121,121,0,0.0,1.0,0.9075,"[{'tx': 121, 'success': 121, 'collisions': 0}]"
75,1,76,120,120,0,0.0,1.0,0.912,"[{'tx': 120, 'success': 120, 'collisions': 0}]"
76,1,77,120,120,0,0.0,1.0,0.924,"[{'tx': 120, 'success': 120, 'collisions': 0}]"
77,1,78,118,118,0,0.0,1.0,0.9204,"[{'tx': 118, 'success': 118, 'collisions': 0}]"
78,1,79,116,116,0,0.0,1.0,0.9164,"[{'tx': 116, 'success': 116, 'collisions': 0}]"
79,1,80,114,114,0,0.0,1.0,0.912,"[{'tx': 114, 'success': 114, 'collisions': 0}]"
80,1,81,113,113,0,0.0,1.0,0.9153,"[{'tx': 113, 'success': 113, 'collisions': 0}]"
81,1,82,112,112,0,0.0,1.0,0.9184,"[{'tx': 112, 'success': 112, 'collisions': 0}]"
82,1,83,112,112,0,0.0,1.0,0.9296,"[{'tx': 112, 'success': 112, 'collisions': 0}]"
83,1,84,110,110,0,0.0,1.0,0.924,"[{'tx': 110, 'success': 110, 'collisions': 0}]"
84,1,85,109,109,0,0.0,1.0,0.9265,"[{'tx': 109, 'success': 109, 'collisions': 0}]"
85,1,86,108,108,0,0.0,1.0,0.9288,"[{'tx': 108, 'success': 108, 'collisions': 0}]"
86,1,87,107,107,0,0.0,1.0,0.9309,"[{'tx': 107, 'success': 107, 'collisions': 0}]"
87,1,88,105,105,0,0.0,1.0,0.924,"[{'tx': 105, 'success': 105, 'collisions': 0}]"
88,1,89,104,104,0,0.0,1.0,0.9256,"[{'tx': 104, 'success': 104, 'collisions': 0}]"
89,1,90,103,103,0,0.0,1.0,0.927,"[{'tx': 103, 'success': 103, 'collisions': 0}]"
90,1,91,102,102,0,0.0,1.0,0.9282,"[{'tx': 102, 'success': 102, 'collisions': 0}]"
91,1,92,100,100,0,0.0,1.0,0.92,"[{'tx': 100, 'success': 100, 'collisions': 0}]"
92,1,93,100,100,0,0.0,1.0,0.93,"[{'tx': 100, 'success': 100, 'collisions': 0}]"
93,1,94,99,99,0,0.0,1.0,0.9306,"[{'tx': 99, 'success': 99, 'collisions': 0}]"
94,1,95,99,99,0,0.0,1.0,0.9405,"[{'tx': 99, 'success': 99, 'collisions': 0}]"
95,1,96,97,97,0,0.0,1.0,0.9312,"[{'tx': 97, 'success': 97, 'collisions': 0}]"
96,1,97,96,96,0,0.0,1.0,0.9312,"[{'tx': 96, 'success': 96, 'collisions': 0}]"
97,1,98,95,95,0,0.0,1.0,0.931,"[{'tx': 95, 'success': 95, 'collisions': 0}]"
98,1,99,95,95,0,0.0,1.0,0.9405,"[{'tx': 95, 'success': 95, 'collisions': 0}]"
99,1,100,94,94,0,0.0,1.0,0.94,"[{'tx': 94, 'success': 94, 'collisions': 0}]"
100,2,1,1948,1684,264,0.13552361396303902,0.864476386036961,0.1684,"[{'tx': 1013, 'success': 881, 'collisions': 132}, {'tx': 935, 'success': 803, 'collisions': 132}]"
101,2,2,1721,1521,200,0.11621150493898896,0.8837884950610111,0.3042,"[{'tx': 868, 'success': 768, 'collisions': 100}, {'tx': 853, 'success': 753, 'collisions': 100}]"
102,2,3,1476,1292,184,0.12466124661246612,0.8753387533875339,0.3876,"[{'tx': 734, 'success': 642, 'collisions': 92}, {'tx': 742, 'success': 650, 'collisions': 92}]"
103,2,4,1303,1163,140,0.10744435917114352,0.8925556408288565,0.4652,"[{'tx': 679, 'success': 609, 'collisions': 70}, {'tx': 624, 'success': 554, 'collisions': 70}]"
104,2,5,1202,1088,114,0.09484193011647254,0.9051580698835274,0.544,"[{'tx': 592, 'success': 535, 'collisions': 57}, {'tx': 610, 'success': 553, 'collisions': 57}]"
105,2,6,1073,965,108,0.10065237651444547,0.8993476234855545,0.579,"[{'tx': 579, 'success': 525, 'collisions': 54}, {'tx': 494, 'success': 440, 'collisions': 54}]"
106,2,7,954,842,112,0.11740041928721175,0.8825995807127882,0.5894,"[{'tx': 481, 'success': 425, 'collisions': 56}, {'tx': 473, 'success': 417, 'collisions': 56}]"
107,2,8,864,768,96,0.1111111111111111,0.8888888888888888,0.6144,"[{'tx': 437, 'success': 389, 'collisions': 48}, {'tx': 427, 'success': 379, 'collisions': 48}]"
108,2,9,807,715,92,0.11400247831474597,0.885997521685254,0.6435,"[{'tx': 396, 'success': 350, 'collisions': 46}, {'tx': 411, 'success': 365, 'collisions': 46}]"
109,2,10,746,650,96,0.128686327077748,0.871313672922252,0.65,"[{'tx': 375, 'success': 327, 'collisions': 48}, {'tx': 371, 'success': 323, 'collisions': 48}]"
110,2,11,701,629,72,0.10271041369472182,0.8972895863052782,0.6919,"[{'tx': 361, 'success': 325, 'collisions': 36}, {'tx': 340, 'success': 304, 'collisions': 36}]"
111,2,12,658,584,74,0.11246200607902736,0.8875379939209727,0.7008,"[{'tx': 328, 'success': 291, 'collisions': 37}, {'tx': 330, 'success': 293, 'collisions': 37}]"
112,2,13,618,544,74,0.11974110032362459,0.8802588996763754,0.7072,"[{'tx': 294, 'success': 257, 'collisions': 37}, {'tx': 324, 'success': 287, 'collisions': 37}]"
113,2,14,591,523,68,0.11505922165820642,0.8849407783417935,0.7322,"[{'tx': 290, 'success': 256, 'collisions': 34}, {'tx': 301, 'success': 267, 'collisions': 34}]"
114,2,15,558,504,54,0.0967741935483871,0.9032258064516129,0.756,"[{'tx': 270, 'success': 243, 'collisions': 27}, {'tx': 288, 'success': 261, 'collisions': 27}]"
115,2,16,524,466,58,0.11068702290076336,0.8893129770992366,0.7456,"[{'tx': 271, 'success': 242, 'collisions': 29}, {'tx': 253, 'success': 224, 'collisions': 29}]"
116,2,17,502,440,62,0.12350597609561753,0.8764940239043825,0.748,"[{'tx': 249, 'success': 218, 'collisions': 31}, {'tx': 253, 'success': 222, 'collisions': 31}]"
117,2,18,485,427,58,0.11958762886597939,0.8804123711340206,0.7686,"[{'tx': 242, 'success': 213, 'collisions': 29}, {'tx': 243, 'success': 214, 'collisions': 29}]"
118,2,19,459,419,40,0.08714596949891068,0.9128540305010894,0.7961,"[{'tx': 221, 'success': 201, 'collisions': 20}, {'tx': 238, 'success': 218, 'collisions': 20}]"
119,2,20,442,402,40,0.09049773755656108,0.9095022624434389,0.804,"[{'tx': 219, 'success': 199, 'collisions': 20}, {'tx': 223, 'success': 203, 'collisions': 20}]"
120,2,21,423,381,42,0.09929078014184398,0.900709219858156,0.8001,"[{'tx': 200, 'success': 179, 'collisions': 21}, {'tx': 223, 'success': 202, 'collisions': 21}]"
121,2,22,406,364,42,0.10344827586206896,0.896551724137931,0.8008,"[{'tx': 197, 'success': 176, 'collisions': 21}, {'tx': 209, 'success': 188, 'collisions': 21}]"
122,2,23,390,350,40,0.10256410256410256,0.8974358974358975,0.805,"[{'tx': 191, 'success': 171, 'collisions': 20}, {'tx': 199, 'success': 179, 'collisions': 20}]"
123,2,24,379,333,46,0.12137203166226913,0.8786279683377308,0.7992,"[{'tx': 180, 'success': 157, 'collisions': 23}, {'tx': 199, 'success': 176, 'collisions': 23}]"
124,2,25,363,317,46,0.12672176308539945,0.8732782369146006,0.7925,"[{'tx': 193, 'success': 170, 'collisions': 23}, {'tx': 170, 'success': 147, 'collisions': 23}]"
125,2,26,350,320,30,0.08571428571428572,0.9142857142857143,0.832,"[{'tx': 190, 'success': 175, 'collisions': 15}, {'tx': 160, 'success': 145, 'collisions': 15}]"
126,2,27,338,306,32,0.09467455621301775,0.9053254437869822,0.8262,"[{'tx': 165, 'success': 149, 'collisions': 16}, {'tx': 173, 'success': 157, 'collisions': 16}]"
127,2,28,328,302,26,0.07926829268292683,0.9207317073170732,0.8456,"[{'tx': 171, 'success': 158, 'collisions': 13}, {'tx': 157, 'success': 144, 'collisions': 13}]"
128,2,29,325,273,52,0.16,0.84,0.7917,"[{'tx': 165, 'success': 139, 'collisions': 26}, {'tx': 160, 'success': 134, 'collisions': 26}]"
129,2,30,310,282,28,0.09032258064516129,0.9096774193548387,0.846,"[{'tx': 163, 'success': 149, 'collisions': 14}, {'tx': 147, 'success': 133, 'collisions': 14}]"
130,2,31,300,272,28,0.09333333333333334,0.9066666666666666,0.8432,"[{'tx': 139, 'success': 125, 'collisions': 14}, {'tx': 161, 'success': 147, 'collisions': 14}]"
131,2,32,293,263,30,0.10238907849829351,0.8976109215017065,0.8416,"[{'tx': 143, 'success': 128, 'collisions': 15}, {'tx': 150, 'success': 135, 'collisions': 15}]"
132,2,33,282,248,34,0.12056737588652482,0.8794326241134752,0.8184,"[{'tx': 114, 'success': 97, 'collisions': 17}, {'tx': 168, 'success': 151, 'collisions': 17}]"
133,2,34,281,247,34,0.12099644128113879,0.8790035587188612,0.8398,"[{'tx': 143, 'success': 126, 'collisions': 17}, {'tx': 138, 'success': 121, 'collisions': 17}]"
134,2,35,271,245,26,0.0959409594095941,0.9040590405904059,0.8575,"[{'tx': 147, 'success': 134, 'collisions': 13}, {'tx': 124, 'success': 111, 'collisions': 13}]"
135,2,36,265,239,26,0.09811320754716982,0.9018867924528302,0.8604,"[{'tx': 135, 'success': 122, 'collisions': 13}, {'tx': 130, 'success': 117, 'collisions': 13}]"
